Country Code,Country,Sex,Year,Observed Percentage,Observed Persons,Vaping Observed Percentage,Vaping Observed Persons
FIN,Finland,Male,2011,21.9,479952.516,0,0
FIN,Finland,Male,2012,20.9,460784.39,0,0
FIN,Finland,Male,2013,19.1,423433.439,0,0
FIN,Finland,Male,2014,17.2,383236.984,0,0
FIN,Finland,Male,2015,18.7,418590.524,0,0
FIN,Finland,Male,2016,16,359895.2,8.3,186695.635
FIN,Finland,Male,2017,15,338951.4,2.9,65530.604
FIN,Finland,Male,2018,15,340210.95,3.1,70310.263
FIN,Finland,Male,2019,16,364404.64,3.4,77435.986
FIN,Finland,Male,2020,14,320365.5,2.2,50343.15
GRC,Greece,Total,2000,35,3229907.1,0,0
GRC,Greece,Total,2004,38.6,3586540.616,0,0
GRC,Greece,Total,2006,40,3754734.8,0,0
GRC,Greece,Total,2008,39.7,3754337.293,0,0
GRC,Greece,Total,2009,31.9,3024588.611,0,0
GRC,Greece,Total,2014,27.3,2539829.019,0,0
GRC,Greece,Total,2019,24.9,2288131.965,1.8,165407.13
USA,United States,Female,2000,17.3,19770896.03,0,0
USA,United States,Female,2001,17.1,19748697.66,0,0
USA,United States,Female,2002,16.5,19250327.75,0,0
USA,United States,Female,2003,15.7,18498744.96,0,0
USA,United States,Female,2004,15.1,17969887.28,0,0
USA,United States,Female,2005,14.9,17923067.26,0,0
USA,United States,Female,2006,14.5,17627347.1,0,0
USA,United States,Female,2007,13.7,16830123.39,0,0
USA,United States,Female,2008,15.1,18726280.7,0,0
USA,United States,Female,2009,14.4,18014918.83,0,0
USA,United States,Female,2010,13.6,17315423.85,0,0
USA,United States,Female,2011,13.3,17083307.09,0,0
USA,United States,Female,2012,12.5,16197111.25,0,0
USA,United States,Female,2013,11.9,15548147.06,0,0
USA,United States,Female,2014,11.8,15553076.14,3.4,4481394.82
USA,United States,Female,2015,10.7,14227818.36,2.6,3457226.89
USA,United States,Female,2016,10.5,14083730.12,2.6,3487399.838
USA,United States,Female,2017,9.5,12840616.2,2.4,3243945.144
USA,United States,Female,2018,9.1,12385068.06,2.3,3130291.927
USA,United States,Female,2019,10,13699020.6,3.5,4794657.21
USA,United States,Female,2020,8.6,11816724.48,2.8,3847305.644
USA,United States,Female,2021,8,11043656.8,4,5521828.4
LVA,Latvia,Total,2008,28.1,525890.095,0,0
LVA,Latvia,Total,2014,24.6,417642.318,0,0
LVA,Latvia,Total,2019,22.6,363563.94,3,48260.7
ITA,Italy,Male,2000,31.9,7462753.947,0,0
ITA,Italy,Male,2001,31.6,7400260.536,0,0
ITA,Italy,Male,2002,31.3,7346444.597,0,0
ITA,Italy,Male,2003,31.4,7414421.398,0,0
ITA,Italy,Male,2005,28.7,6877589.936,0,0
ITA,Italy,Male,2006,29.2,7025708.924,0,0
ITA,Italy,Male,2007,28.6,6923222.878,0,0
ITA,Italy,Male,2008,28.9,7048618.676,0,0
ITA,Italy,Male,2009,29.9,7331456.08,0,0
ITA,Italy,Male,2010,29.6,7286928.296,0,0
ITA,Italy,Male,2011,28.7,7090697.194,0,0
ITA,Italy,Male,2012,28.1,6968120.542,0,0
ITA,Italy,Male,2013,26.7,6644146.014,0,0
ITA,Italy,Male,2014,24.8,6182854.272,2.1,523548.144
ITA,Italy,Male,2015,24.9,6212913.54,1.6,399223.36
ITA,Italy,Male,2016,25.1,6270400.174,1.6,399706.784
ITA,Italy,Male,2017,25.1,6280301.371,2.9,725612.509
ITA,Italy,Male,2018,23.5,5889113.16,3.2,801921.792
ITA,Italy,Male,2019,22.7,5692601.807,3.4,852636.394
ITA,Italy,Male,2020,22.5,5626310.4,3.1,775180.544
ITA,Italy,Male,2021,23.1,5763960.048,3.4,848375.072
CZE,Czechia,Male,2002,30.9,1279690.437,0,0
CZE,Czechia,Male,2003,32.2,1340130.19,0,0
CZE,Czechia,Male,2004,31.1,1300534.824,0,0
CZE,Czechia,Male,2005,29.8,1255688.56,0,0
CZE,Czechia,Male,2006,27.7,1176563.04,0,0
CZE,Czechia,Male,2007,29.6,1269819.576,0,0
CZE,Czechia,Male,2008,24.9,1084013.781,0,0
CZE,Czechia,Male,2009,29.7,1302779.214,0,0
CZE,Czechia,Male,2010,29.3,1285667.885,0,0
CZE,Czechia,Male,2011,24.7,1078620.348,0,0
CZE,Czechia,Male,2012,26.3,1148031.294,0,0
CZE,Czechia,Male,2013,27.2,1185071.904,0,0
CZE,Czechia,Male,2014,26.4,1149419.304,0,0
CZE,Czechia,Male,2015,21.8,949017.874,0,0
CZE,Czechia,Male,2016,23.8,1036362.432,0,0
CZE,Czechia,Male,2017,22.6,984714.318,5.9,257071.437
CZE,Czechia,Male,2018,24.5,1070244.28,5.9,257732.296
CZE,Czechia,Male,2019,21.1,925225.294,6.2,271867.148
CZE,Czechia,Male,2020,21.2,931860.204,6.1,268129.587
CZE,Czechia,Male,2021,22,948074.6,8.8,379229.84
PRT,Portugal,Total,2006,18.6,1647830.544,0,0
PRT,Portugal,Total,2014,16.8,1496028.576,1,89049.32
PRT,Portugal,Total,2019,14.2,1271584.156,1.6,143277.088
KOR,South Korea,Total,2001,26.1,9792122.832,0,0
KOR,South Korea,Total,2005,25.9,10090976.96,0,0
KOR,South Korea,Total,2007,24,9592621.44,0,0
KOR,South Korea,Total,2008,26.3,10671457.76,0,0
KOR,South Korea,Total,2009,25.6,10516114.18,0,0
KOR,South Korea,Total,2010,22.9,9520600.117,0,0
KOR,South Korea,Total,2011,23.2,9782321.296,0,0
KOR,South Korea,Total,2012,21.6,9206486.352,0,0
KOR,South Korea,Total,2013,19.9,8564294.544,0,0
KOR,South Korea,Total,2014,20,8706593.2,0,0
KOR,South Korea,Total,2015,17.3,7609416.072,0,0
KOR,South Korea,Total,2016,18.4,8160996.16,0,0
KOR,South Korea,Total,2017,17.5,7811584.9,0,0
KOR,South Korea,Total,2018,17.5,7873250.7,0,0
KOR,South Korea,Total,2019,16.4,7431945.688,2.6,1178235.292
KOR,South Korea,Total,2020,15.9,7239328.671,2.6,1183789.594
KOR,South Korea,Total,2021,15.4,7022591.268,2.5,1140031.05
MEX,Mexico,Total,2000,12.4,8054506.924,0,0
MEX,Mexico,Total,2002,14.6,9885667.154,0,0
MEX,Mexico,Total,2006,13,9553598.99,0,0
MEX,Mexico,Total,2008,10.8,8289830.088,0,0
MEX,Mexico,Total,2009,7.6,5962362.716,0,0
MEX,Mexico,Total,2011,10.3,8420269.879,0,0
MEX,Mexico,Total,2012,11.8,9834405.206,0,0
MEX,Mexico,Total,2015,7.6,6678568.02,0,0
MEX,Mexico,Total,2016,6.4,5715783.808,0,0
MEX,Mexico,Total,2018,7.7,7092241.31,0,0
MEX,Mexico,Total,2020,7.4,7017429.916,0,0
MEX,Mexico,Total,2021,8.6,8269428.384,0,0
EST,Estonia,Total,2000,30.3,348656.04,0,0
EST,Estonia,Total,2002,28.3,325373.59,0,0
EST,Estonia,Total,2004,32.8,377145.88,0,0
EST,Estonia,Total,2006,27.8,318407.3,0,0
EST,Estonia,Total,2008,26.2,298166.48,0,0
EST,Estonia,Total,2010,26.2,295697.13,0,0
EST,Estonia,Total,2012,26,290286.36,1.2,13397.832
EST,Estonia,Total,2014,22.1,244367.214,5.8,64132.572
EST,Estonia,Total,2016,21.3,234995.019,3.8,41923.994
EST,Estonia,Total,2018,17.2,190172.144,3.7,40909.124
EST,Estonia,Total,2020,17.9,198849.847,3.8,42213.934
EST,Estonia,Total,2022,15.9,179348.979,10.4,117310.024
GBR,United Kingdom,Male,2000,28.5,6541040.7,0,0
GBR,United Kingdom,Male,2001,28.3,6549362.026,0,0
GBR,United Kingdom,Male,2002,26.8,6250672.272,0,0
GBR,United Kingdom,Male,2003,28,6581582,0,0
GBR,United Kingdom,Male,2004,26.4,6254954.376,0,0
GBR,United Kingdom,Male,2005,25.3,6060488.753,0,0
GBR,United Kingdom,Male,2006,23.2,5613942.728,0,0
GBR,United Kingdom,Male,2007,22.1,5404434.113,0,0
GBR,United Kingdom,Male,2008,21.6,5335381.44,0,0
GBR,United Kingdom,Male,2009,22,5479920.6,0,0
GBR,United Kingdom,Male,2010,20.9,5255645.252,0,0
GBR,United Kingdom,Male,2011,21,5335383.69,0,0
GBR,United Kingdom,Male,2012,22.2,5677523.682,0,0
GBR,United Kingdom,Male,2013,21.6,5560564.464,0,0
GBR,United Kingdom,Male,2014,20.4,5294424.444,4,1038122.44
GBR,United Kingdom,Male,2015,19.1,4998515.84,4.6,1203831.04
GBR,United Kingdom,Male,2016,17.7,4672144.923,6.3,1662966.837
GBR,United Kingdom,Male,2017,18.7,4961514.294,6.5,1724590.53
GBR,United Kingdom,Male,2018,17,4536787.79,7.7,2054897.999
GBR,United Kingdom,Male,2019,17.9,4805510.075,6.1,1637631.925
GBR,United Kingdom,Male,2020,15.3,4131741.438,4.7,1269227.762
GBR,United Kingdom,Male,2021,13.7,3684791.593,6.4,1721362.496
EST,Estonia,Female,2000,20,125385,0,0
EST,Estonia,Female,2002,17.5,109552.625,0,0
EST,Estonia,Female,2004,21.1,132006.875,0,0
EST,Estonia,Female,2006,19.5,121453.8,0,0
EST,Estonia,Female,2008,17.1,105797.7,0,0
EST,Estonia,Female,2010,18.7,114575.835,0,0
EST,Estonia,Female,2012,18.3,110792.592,0.7,4237.968
EST,Estonia,Female,2014,15.8,94544.198,4.3,25730.383
EST,Estonia,Female,2016,15.5,92255.845,2.1,12499.179
EST,Estonia,Female,2018,12.9,76567.176,2.2,13057.968
EST,Estonia,Female,2020,12.6,74732.112,2.4,14234.688
EST,Estonia,Female,2022,12.1,72697.526,9.5,57076.57
LUX,Luxembourg,Total,2001,26,93076.62,0,0
LUX,Luxembourg,Total,2002,26,94110.12,0,0
LUX,Luxembourg,Total,2003,28,102708.76,0,0
LUX,Luxembourg,Total,2004,27,100602,0,0
LUX,Luxembourg,Total,2005,23,87166.55,0,0
LUX,Luxembourg,Total,2006,21,81007.08,0,0
LUX,Luxembourg,Total,2007,21,82413.66,0,0
LUX,Luxembourg,Total,2008,20,80088.2,0,0
LUX,Luxembourg,Total,2009,19,77696.7,0,0
LUX,Luxembourg,Total,2010,18.3,76379.991,0,0
LUX,Luxembourg,Total,2011,16.9,72389.629,0,0
LUX,Luxembourg,Total,2012,16.8,73978.128,0,0
LUX,Luxembourg,Total,2013,15.7,70879.848,0,0
LUX,Luxembourg,Total,2014,15.3,70865.163,0,0
LUX,Luxembourg,Total,2015,15,71292.75,0,0
LUX,Luxembourg,Total,2016,14.9,72719.599,0,0
LUX,Luxembourg,Total,2017,16,79970.08,0,0
LUX,Luxembourg,Total,2018,14.5,73962.035,0,0
LUX,Luxembourg,Total,2019,16.8,87471.048,1.8,9371.898
LUX,Luxembourg,Total,2020,16.9,89515.413,0,0
LUX,Luxembourg,Total,2021,19.2,103301.76,0,0
LUX,Luxembourg,Total,2022,20.3,111520.892,0,0
MEX,Mexico,Female,2000,6.4,2149418.176,0,0
MEX,Mexico,Female,2002,7.5,2630005.725,0,0
MEX,Mexico,Female,2006,6.5,2480483.59,0,0
MEX,Mexico,Female,2008,6.1,2430203.888,0,0
MEX,Mexico,Female,2009,3.7,1505621.871,0,0
MEX,Mexico,Female,2011,5.5,2329862.095,0,0
MEX,Mexico,Female,2015,3.6,1637406.9,0,0
MEX,Mexico,Female,2016,3.1,1432655.576,0,0
MEX,Mexico,Female,2018,3.7,1762868.959,0,0
MEX,Mexico,Female,2020,2.9,1422156.346,0,0
MEX,Mexico,Female,2021,4.4,2187710.932,0,0
COL,Colombia,Male,2008,23.8,3535975.758,0,0
COL,Colombia,Male,2013,18.8,3047498.236,0,0
BEL,Belgium,Female,2001,19.9,870464.009,0,0
BEL,Belgium,Female,2004,19.7,875426.039,0,0
BEL,Belgium,Female,2008,17.7,810479.814,0,0
BEL,Belgium,Female,2013,16.4,777458.072,0,0
BEL,Belgium,Female,2018,12.1,586598.683,2.7,130893.921
BEL,Belgium,Male,2001,28.6,1174662.06,0,0
BEL,Belgium,Male,2004,28,1170736.56,0,0
BEL,Belgium,Male,2008,23.6,1019850.164,0,0
BEL,Belgium,Male,2013,21.6,970885.224,0,0
BEL,Belgium,Male,2018,18.9,874200.222,5.6,259022.288
NLD,Netherlands,Total,2000,32,4148469.12,0,0
NLD,Netherlands,Total,2001,28.8,3760787.232,0,0
NLD,Netherlands,Total,2002,27.6,3627952.104,0,0
NLD,Netherlands,Total,2003,26.7,3527712.135,0,0
NLD,Netherlands,Total,2004,25.4,3370488.052,0,0
NLD,Netherlands,Total,2005,25.2,3357469.08,0,0
NLD,Netherlands,Total,2006,25.2,3370372.992,0,0
NLD,Netherlands,Total,2007,23.1,3103375.044,0,0
NLD,Netherlands,Total,2008,23.3,3149274.833,0,0
NLD,Netherlands,Total,2009,22.6,3076403.078,0,0
NLD,Netherlands,Total,2010,20.9,2864427.764,0,0
NLD,Netherlands,Total,2011,20.8,2868571.056,0,0
NLD,Netherlands,Total,2012,18.4,2551651.832,0,0
NLD,Netherlands,Total,2013,18.5,2578979.92,0,0
NLD,Netherlands,Total,2014,19.1,2679049.849,0,0
NLD,Netherlands,Total,2015,19,2684035.76,0,0
NLD,Netherlands,Total,2016,18,2563118.1,3.5,498384.075
NLD,Netherlands,Total,2017,16.8,2412328.968,3.1,445132.131
NLD,Netherlands,Total,2018,15.5,2244462.31,3.2,463372.864
NLD,Netherlands,Total,2019,15.4,2250235.064,1.6,233790.656
NLD,Netherlands,Total,2020,14.4,2120052.24,1.1,161948.435
NLD,Netherlands,Total,2021,14.7,2178679.797,1.4,207493.314
USA,United States,Total,2000,19.1,42379570.87,0,0
USA,United States,Total,2001,18.7,41984996.53,0,0
USA,United States,Total,2002,18.4,41779437.99,0,0
USA,United States,Total,2003,17.5,40158874.53,0,0
USA,United States,Total,2004,17,39466094.32,0,0
USA,United States,Total,2005,16.9,39714586.46,0,0
USA,United States,Total,2006,16.7,39723154.9,0,0
USA,United States,Total,2007,15.4,37044637.17,0,0
USA,United States,Total,2008,16.5,40125786.03,0,0
USA,United States,Total,2009,16.1,39555115.63,0,0
USA,United States,Total,2010,15.1,37466832.72,0,0
USA,United States,Total,2011,14.8,37060199.74,0,0
USA,United States,Total,2012,14.2,35890528.97,0,0
USA,United States,Total,2013,13.7,34931189.35,0,0
USA,United States,Total,2014,12.9,33192666.6,3.7,9520377.241
USA,United States,Total,2015,11.4,29606809.58,3.5,9089809.96
USA,United States,Total,2016,11.8,30921954.4,3.2,8385614.752
USA,United States,Total,2017,10.5,27731901.75,2.8,7395173.8
USA,United States,Total,2018,10.3,27393763.82,3.2,8510683.904
USA,United States,Total,2019,10.9,29181132.07,4.5,12047256.36
USA,United States,Total,2020,9.4,25466591.77,3.7,10024083.99
USA,United States,Total,2021,8.8,23945074.3,4.5,12244640.27
SWE,Sweden,Male,2000,16.8,595975.968,0,0
SWE,Sweden,Male,2001,17.9,638432.677,0,0
SWE,Sweden,Male,2002,18.8,674644.58,0,0
SWE,Sweden,Male,2003,17.8,643125.57,0,0
SWE,Sweden,Male,2004,16.9,615177.407,0,0
SWE,Sweden,Male,2005,17.6,645919.648,0,0
SWE,Sweden,Male,2006,16.3,604318.425,0,0
SWE,Sweden,Male,2007,14.9,558917.178,0,0
SWE,Sweden,Male,2008,16.3,618209.122,0,0
SWE,Sweden,Male,2009,14.6,559575.222,0,0
SWE,Sweden,Male,2010,14.7,568883.532,0,0
SWE,Sweden,Male,2011,13.9,542071.644,0,0
SWE,Sweden,Male,2012,12.4,486759.892,0,0
SWE,Sweden,Male,2013,9.8,387428.594,0,0
SWE,Sweden,Male,2014,11.7,466635.546,0,0
SWE,Sweden,Male,2015,11.7,471274.245,0,0
SWE,Sweden,Male,2016,10.6,432256.446,0,0
SWE,Sweden,Male,2017,10.5,434020.44,0,0
SWE,Sweden,Male,2018,11,460108,1.9,79473.2
SWE,Sweden,Male,2019,10.1,427135.464,0,0
SWE,Sweden,Male,2020,10.2,434983.284,1.2,51174.504
SWE,Sweden,Male,2021,10.2,438178.74,0.9,38662.83
CHL,Chile,Total,2003,33,3874460.37,0,0
CHL,Chile,Total,2009,29.8,3900468.062,0,0
CHL,Chile,Total,2016,24.5,3546227.02,1.2,173692.752
CHL,Chile,Total,2020,17.6,2766767.872,0.9,141482.448
ISR,Israel,Total,2000,24.1,1082306.9,0,0
ISR,Israel,Total,2002,21.9,1030416.9,0,0
ISR,Israel,Total,2004,21.6,1053805.464,0,0
ISR,Israel,Total,2006,19.5,985618.53,0,0
ISR,Israel,Total,2008,18.7,985753.67,0,0
ISR,Israel,Total,2010,18.5,1015766.55,0,0
ISR,Israel,Total,2013,16.2,937674.954,0,0
ISR,Israel,Total,2014,17.1,1008184.707,0,0
ISR,Israel,Total,2016,19.6,1201560.556,0,0
ISR,Israel,Total,2017,16.9,1056298.672,0.3,18750.864
ISR,Israel,Total,2019,16.4,1066825.904,1.5,97575.54
LUX,Luxembourg,Female,2001,23,42143.82,0,0
LUX,Luxembourg,Female,2002,22,40741.14,0,0
LUX,Luxembourg,Female,2003,22,41248.68,0,0
LUX,Luxembourg,Female,2004,23,43732.2,0,0
LUX,Luxembourg,Female,2005,19,36704.39,0,0
LUX,Luxembourg,Female,2006,18,35363.34,0,0
LUX,Luxembourg,Female,2007,18,35945.46,0,0
LUX,Luxembourg,Female,2008,18,36628.2,0,0
LUX,Luxembourg,Female,2009,17,35268.71,0,0
LUX,Luxembourg,Female,2010,15.7,33192.94,0,0
LUX,Luxembourg,Female,2011,15.5,33535.955,0,0
LUX,Luxembourg,Female,2012,15.2,33707.824,0,0
LUX,Luxembourg,Female,2013,13.9,31536.459,0,0
LUX,Luxembourg,Female,2014,13.7,31845.65,0,0
LUX,Luxembourg,Female,2015,13.9,33104.935,0,0
LUX,Luxembourg,Female,2016,12.6,30772.728,0,0
LUX,Luxembourg,Female,2017,14,34981.66,0,0
LUX,Luxembourg,Female,2018,13.4,34124.976,0,0
LUX,Luxembourg,Female,2019,16,41554.56,1.2,3116.592
LUX,Luxembourg,Female,2020,16.1,42506.898,0,0
LUX,Luxembourg,Female,2021,17.4,46617.21,0,0
LUX,Luxembourg,Female,2022,19.4,53080.922,0,0
AUS,Australia,Total,2001,19.6,3001635.728,0,0
AUS,Australia,Total,2004,17.8,2841072.418,0,0
AUS,Australia,Total,2007,16.9,2835948.609,0,0
AUS,Australia,Total,2010,15.3,2728456.956,0,0
AUS,Australia,Total,2013,13,2437526.39,0,0
AUS,Australia,Total,2016,12.4,2432670.44,0.9,176564.79
AUS,Australia,Total,2019,11.2,2308091.52,2.1,432767.16
TUR,Turkey,Male,2003,51.1,12173775.8,0,0
TUR,Turkey,Male,2006,50.6,12749816.09,0,0
TUR,Turkey,Male,2008,43.8,11401132.55,0,0
TUR,Turkey,Male,2010,39,10555828.14,0,0
TUR,Turkey,Male,2012,37.3,10465635.49,0,0
TUR,Turkey,Male,2014,41.8,12142747.01,0,0
TUR,Turkey,Male,2016,40.1,12058999.12,0,0
TUR,Turkey,Male,2019,41.3,13041509.57,0,0
SVK,Slovakia,Male,2003,32.8,695129.416,0,0
SVK,Slovakia,Male,2009,27.1,597801.339,0,0
SVK,Slovakia,Male,2014,30.4,673315.92,0,0
SVK,Slovakia,Male,2019,26.9,597639.452,1.3,28882.204
IRL,Ireland,Total,2002,27,834239.25,0,0
IRL,Ireland,Total,2007,24,837998.64,0,0
IRL,Ireland,Total,2015,19,700355.58,3,110582.46
IRL,Ireland,Total,2016,19,709481.47,3,112023.39
IRL,Ireland,Total,2017,18,681383.88,4,151418.64
IRL,Ireland,Total,2018,17,654208.11,4,153931.32
IRL,Ireland,Total,2019,14,547760.08,5,195628.6
IRL,Ireland,Total,2021,16,642544.64,4,160636.16
IRL,Ireland,Total,2022,14,573898.5,6,245956.5
